year;Jordan;West Bank;Gaza;Lebanon;Syria
1989;916013;404596;482140;296871;276547
1990;943819;424152;507186;306471;284888
1991;989207;443448;544060;315508;294050
1992;1042123;472573;582863;324219;306042
1993;1140199;491779;625496;334659;321104
1994;1239811;512434;666343;342121;332465
1995;1328768;524207;700789;349773;342507
1996;1389603;538391;731942;356258;352136
1997;1437371;548874;759564;362098;361202
1998;1487449;562737;785551;367610;370035
1999;1541405;576160;808495;373440;378382
2000;1609566;591141;837750;380072;387526
2001;1662227;618152;865242;384918;396248
2002;1698271;639448;893141;389233;405601
2003;1740170;665246;922674;394532;413827
2004;1776669;682657;952295;399152;421737
2005;1827877;699817;986034;404170;432048
2006;1859847;724352;1018251;409327;443526
2007;1901831;745776;1048125;413962;451467
2008;1951603;762818;1073303;422188;461897
2009;1983733;778993;1106195;425640;472109
2010;1999466;848494;1167361;455373;495970
2011;2047367;874627;1217519;465798;510444
2012;2110114;895703;1263312;474053;528711
2013;2154486;914192;1037014;483375;569645
2014;2212917;942184;1349473;493134;591780
2015;2240105;964965;1378861;501424;601069
2016;2286643;997173;1435616;532173;618128
